mol,CAS,Tox
S=C(N)c1ccccc1,2227-79-4,3.0899999
Clc1c(C(=O)C)ccc(Cl)c1,2234-16-4,3.6199999
N#Cc1cc(N)ccc1,2237-30-1,2.53
N#CCCCCCCCC,2243-27-8,3.625
N#CCCCCCCCCCC,2244/7/7,4.6500001
S=C=NCCc1ccccc1,2257/9/2,5.5380001
ClCC(=O)N(CC)CC,2315-36-8,3.5209999
O=C(OCCC)c1ccccc1,2315-68-6,3.4200001
Brc1cc(CO)c(O)cc1,2316-64-5,3.3399999
Brc1cc(C)c(O)c(C)c1,2374/5/2,4.1599998
Cc1c(C)nc2c(n1)cccc2,2379-55-7,3.25
Nc1cc(C(C)(C)C)cc(C(C)(C)C)c1,2380-36-1,4.4400001
O(C)c1c(O)ccc(CCO)c1,2380-78-1,2.8199999
O=C(C)c1c(C)[nH]cc1C,2386-25-6,2.6800001
O=C(OCC=C)CC,2408-20-0,2.1210001
Oc1c(C(C)(C)C)cc(C)cc1,2409-55-4,4.3000002
Oc1c(C)c(C)ccc1C,2416-94-6,3.28
BrCCC#N,2417-90-5,2.5
OCCCCCCc1ccccc1,2430-16-2,3.8699999
Oc1c(-c2ccccc2)cccc1-c1ccccc1,2432/11/3,5.1129999
N#CCCCCCCCCCCC,2437-25-4,4.9029999
Brc1c(O)c(Br)cc(Br)c1O,2437-49-2,4.0599999
Clc1c(C(=O)N)ccc(Cl)c1,2447-79-2,2.6400001
O=C(Cc1ccccc1)c1ccc(O)cc1,2491-32-9,4.0700002
O=C(OCc1ccccc1)C=C,2495-35-4,4.3499999
O=C(OCc1ccccc1)C(=C)C,2495-37-6,3.6500001
O=C(/C=C/C)CC,2497-21-4,3.9200001
O=C(OCCCCCCC)C=C,2499-58-3,4.0900002
O=C(OCCCCCC)C=C,2499-95-8,3.74
OCCCCCN,2508-29-4,1.235
O=C(OCC)c1ncccc1,2524-52-9,2.0799999
Clc1c([N+](=O)[O-])cc([N+](=O)[O-])cn1,2578-45-2,5.6399999
O=[N+]([O-])c1c(C)cc(O)cc1,2581-34-2,4.73
BrCCCC(=O)O,2623-87-2,2.2290001
S=C=NCCCc1ccccc1,2627-27-2,5.5380001
Ic1c(O)c(C=O)cc(I)c1,2631-77-8,5.3400002
Clc1c([N+](=O)[O-])c(Cl)c([N+](=O)[O-])cc1Cl,2678-21-9,5.5999999
O=C(N(C)C)C=C,2680/3/7,1.7640001
Clc1c(N)c([N+](=O)[O-])cc(Cl)c1,2683-43-4,4.2600002
Ic1oc(C=O)cc1,2689-65-8,3.3299999
N#C/C(/C#N)=C\c1ccccc1,2700-22-3,3.6400001
NCCc1ncccc1,2706-56-1,2.26
OCCC(C)c1ccccc1,2722-36-3,3.01
O=C(N)c1ccc(N)cc1,2835-68-9,2.0899999
Oc1c(C)cc(N)cc1,2835-96-3,4.3099999
Clc1cc(OC)ccc1,2845-89-8,3.29
OCCCc1cnccc1,2859-67-8,2.1600001
Brc1sc(Cl)cc1,2873-18-9,3.75
Fc1c(F)cc(F)c(F)n1,2875-18-5,2.3900001
Clc1c(C(=O)OC)cc(Cl)cc1,2905-69-3,3.8099999
N#Cc1ccc(-c2ccccc2)cc1,2920-38-9,4.2399998
OCc1c(-c2ccccc2)cccc1,2928-43-0,3.8199999
OC(CCC(O)C)C,2935-44-6,1.04
BrCCCC(=O)OCC,2969-81-5,2.971
Brc1c(O)c(Br)cc(C=O)c1,2973-77-5,3.8900001
NC(C#C)(C)C,2978-58-7,2.0899999
O=CCC(C)(C)C,2987-16-8,2.6259999
O=C(OCCCCC)C=C,2998-23-4,3.54
S(C#N)Cc1ccccc1,3012-37-1,4.0500002
ClC(Cl)C#N,3018-12-0,3.973
O=C(OC=C)CCCCC,3050-69-9,3.0799999
O=C(OC1CCCCC1)C=C,3066-71-5,3.76
O=[N+]([O-])c1cnc(N)nc1,3073-77-6,2.5699999
Oc1c(C)c(C)c(N)cc1,3096-69-3,4.4400001
Brc1cc(C=O)ccc1,3132-99-8,3.506
O=C(CC)c1occc1,3194-15-8,2.23
BrC(C(=O)OC)CC,3196-15-4,4.0240002
C(C)c1occc1,3208-16-0,2.48
Clc1c(Cl)cccc1[N+](=O)[O-],3209-22-1,4.0700002
Brc1cc(Cl)c(O)c(Cl)c1,3217-15-0,4.7800002
O=Cc1ccc(-c2ccccc2)cc1,3218-36-8,4.1199999
N#C/C(/C#N)=C\c1occc1,3237-22-7,3.9400001
O=C(CCC(=C)C)C,3240/9/3,2.125
BrC(Br)C#N,3252-43-5,5.3979998
NCCc1ccc(C)cc1,3261-62-9,2.96
O=[N+]([O-])c1c(O)c(O)c(O)c([N+](=O)[O-])c1,3264-71-9,4.1799998
O=[N+]([O-])c1cc(O)c(O)cc1,3316/9/4,4.1700001
OCCCCc1ccccc1,3360-41-6,3.1199999
BrCCC(=O)OC,3395-91-3,4.027
Brc1c([N+](=O)[O-])cc(Br)cc1,3460-18-2,4.3699999
Clc1c(N)c(Cl)c(Cl)cc1Cl,3481-20-7,4.7600002
Brc1c(F)c(F)nc(F)c1F,3511-90-8,2.8699999
Clc1c(N)c([N+](=O)[O-])cc([N+](=O)[O-])c1,3531-19-9,4.1199999
O=C(NN)CCC,3538-65-6,2.0280001
N#CCc1ccc(N)cc1,3544-25-0,2.24
S=C=NC(c1ccccc1)c1ccccc1,3550-21-8,6.0510001
OCc1ccc(-c2ccccc2)cc1,3597-91-9,3.9200001
BrC(C(=O)OCC)CBr,3674-13-3,5.2080002
Clc1c([N+](=O)[O-])cc([N+](=O)[O-])c(Cl)c1,3698-83-7,5.7199998
Ic1cc(F)cc([N+](=O)[O-])c1,3819-88-3,4.0900002
O=C/C=C/CCCCCCC,3913-81-3,4.8499999
BrCC(=O)Nc1c(O)ccc([N+](=O)[O-])c1,3947-58-8,3.8699999
Brc1ccc(C(C)(C)C)cc1,3972-65-4,3.75
C(C)(C)(C)c1ccncc1,3978-81-2,3.2
S=C=Nc1ccc(N=C=S)cc1,4044-65-9,6.3470001
ClC(C(=O)C)C,4091-39-8,3.2690001
O=[N+]([O-])c1c(O)c([N+](=O)[O-])cc(C(C)(C)C)c1,4097-49-8,4.8000002
O=[N+]([O-])c1cc([N+](=O)[O-])cc(C#N)c1,4110-35-4,4.2199998
OCC(N)CCC,4146/4/7,2.3280001
ClC(C(=O)O)CC,4170-24-5,2.648
OC(C#C)CC,4187-86-4,1.822
O=[N+]([O-])c1cnc(N)cc1,4214-76-0,3.22
Clc1cnc(O)cc1,4214-79-3,2.25
BrCCCCCC(=O)O,4224-70-8,3.0309999
O=C(OC=C)C(=C)C,4245-37-8,2.3800001
OC1Cc2c(cccc2)C1,4254-29-9,2.3099999
Cc1oc2c(c1)cccc2,4265-25-2,3.6199999
BrCCCCCCO,4286-55-9,3.007
O=C(C=C)CCCCC,4312-99-6,4.9200001
O=C/C=C/C=C/CC,4313/3/5,3.862
Clc1c([N+](=O)[O-])c(Cl)ncn1,4316-93-2,5.1199999
OC(C#C)(CCC)C,4339/5/3,2.0999999
O=C(OCC)C#CC,4341-76-8,3.51
N#C/C=C/c1ccccc1,4360-47-8,3.1600001
OC(C#CC)(CCC)C,4376-16-3,2.52
O(C)c1c(O)cc(CO)cc1,4383/6/6,2.01
S=C=NCCCCCC,4404-45-9,4.75
O(C)c1c(O)ccc(C#N)c1,4421/8/3,2.97
O=C(C(=O)CC)CC,4437-51-8,2.99
O=Cc1c(OC)cc(OC)c(OC)c1,4460-86-0,2.9000001
C(CC)Cc1occc1,4466-24-4,3.4400001
Brc1ncc([N+](=O)[O-])cc1,4487-59-6,4.0700002
N#Cc1[nH]ccc1,4513-94-4,2.4200001
O=[N+]([O-])c1sc(C=O)cc1,4521-33-9,4.98
Clc1ncc([N+](=O)[O-])cc1,4548-45-2,3.8
O=C(OCC)C(C#N)c1ccccc1,4553/7/5,2.98
O=C(/C=C/C)CCCC,4643-27-0,4.0100002
BrCC(O)CO,4704-77-2,1.79
O=Cc1c2c(c3c(c1)cccc3)cccc2,4707-71-5,4.7080002
Oc1c(C#N)c(C#N)c(O)cc1,4733-50-0,2.5599999
O=Cc1ccc(CC)cc1,4748-78-1,3.2909999
BrCCCCOC(=O)C,4753-59-7,3.392
OCc1c2c(ccc1)cccc2,4780-79-4,3.1300001
OC(C=C)CCC,4798-44-1,2.1889999
BrCCSc1ccccc1,4837/1/8,3.3900001
O=C(O)CC(CC(=O)O)(C)C,4839-46-7,2.336
C(CCc1sccc1)CC,4861-58-9,4.1999998
BrCCCC(=O)OC,4897-84-1,3.0680001
Clc1c(Cl)c(Cl)cc(O)c1Cl,4901-51-3,5.7199998
C(Cc1ccncc1)c1ccncc1,4916-57-8,2.97
O=[N+]([O-])c1c(O)cccc1C,4920-77-8,3.6099999
O=C(OCC(CCCC)CC)c1ccc(O)cc1,5153-25-3,5.5100002
Ic1c(CO)cccc1,5159-41-1,3.3299999
O=[N+]([O-])c1c(O)c(C=O)ccc1,5274-70-4,3.8699999
O=[N+]([O-])c1c(C(=O)OC)ccc(C(=O)OC)c1,5292-45-5,3.4300001
S(CC=C)c1ccccc1,5296-64-0,3.6900001
O(CC)c1c2c(ccc1)cccc2,5328/1/8,4.25
O=C(NCCC)C,5331-48-6,1.502
BrCCCC#N,5332/6/9,2.5350001
O(CCCN)C,5332-73-0,1.228
OC(Cc1ccccc1)(C)c1ccccc1,5342-87-0,3.8
O=C/C=C/C(C)C,5362-56-1,3.8199999
Clc1cc([N+](=O)[O-])c(N)c([N+](=O)[O-])c1,5388-62-5,4.1500001
OCCCC#C,5390/4/5,1.58
ClCC(=O)OCCC,5396-24-7,4.1799998
O=C(OCC)c1ccc(C(C)(C)C)cc1,5406-57-5,4.4200001
BrCCCCC#N,5414-21-1,2.7850001
O=[N+]([O-])c1cc(O)c(C)cc1,5428-54-6,3.6600001
BrC(C(=O)OC)C,5445-17-0,4.1799998
BrC(C(=O)OCC)CCCCCC,5445-29-4,4.5
O=C(OC)c1c(O)cc(OC)cc1,5446/2/6,3.6199999
O=[N+]([O-])c1cnc(OC)cc1,5446-92-4,2.99
BrC([N+](=O)[O-])(C)C,5447-97-2,4.8540001
O=[N+]([O-])c1c(C)c(O)ccc1,5460-31-1,3.78
Clc1c([N+](=O)[O-])cccn1,5470-18-8,3.8699999
O=C(CCc1ccc(O)cc1)C,5471-51-2,2.5
S(=O)(=O)(C=C)c1ccccc1,5535-48-8,4.2800002
OC/C=C/C#C,5557-88-0,2.4449999
Clc1nc(N)nc(C)c1,5600-21-5,2.53
S(CC#C)c1ccccc1,5651-88-7,3.54
O=C(OC1C2(C)C(C)(C)C(C1)CC2)C,5655-61-8,3.6800001
O=C(O)C#CCCCCC,5663-96-7,2.9430001
OCC(N)CCCC,5665-74-7,2.415
N(C)(C)c1ncccc1,5683-33-0,2.45
C(C)c1ccc(-c2ccccc2)cc1,5707-44-8,4.9699998
O=Cc1ccc(OCCCC)cc1,5736-88-9,3.7160001
O=Cc1ccc(OCCCCC)cc1,5736-91-4,4.1799998
OC(CCCCCCC)CCCCC,5770/3/6,5.2399998
Brc1ccc(C(=O)OCC)cc1,5798-75-4,4.3299999
O=C(N)c1sccc1,5813-89-8,2.03
O=C(OCC)/C(=C/C)/C,5837-78-5,2.5039999
ClCCC(=O)N,5875-24-1,1.409
BrC(C(=O)N)C,5875-25-2,3.0039999
Cc1c(C)nccn1,5910-89-4,2.1300001
OCC#CCCCCCC,5921-73-3,3.6489999
Clc1cc(C#N)c(N)cc1,5922-60-1,3.4400001
OC(CCC)C,6032-29-7,1.84
OC/C=C\CO,6117-80-2,0.85100001
OC/C=C/C,6117-91-5,1.528
O=C(CC(=O)C)CCCCC,6175-23-1,3.506
O=C(CCCCCCCCCC)C,6175-49-1,4.6700001
O=C/C=C/c1ccc(N(C)C)cc1,6203-18-5,3.52
OCC#CCC,6261-22-9,2.428
Clc1c(N)cc([N+](=O)[O-])cc1,6283-25-6,3.5999999
Clc1c([N+](=O)[O-])c(Cl)cc(Cl)c1[N+](=O)[O-],6284-83-9,5.1900001
BrCC(=O)C(=O)CBr,6305-43-7,4.7620001
O=C(OCC)CCC(=O)CCC(=O)OCC,6317-49-3,2.362
Clc1c([N+](=O)[O-])cc(O)c(N)c1,6358/7/2,4.1700001
Clc1c(O)c(N)cc([N+](=O)[O-])c1,6358/9/4,4.1999998
O=C(OCCC(C)C)c1ccc(O)cc1,6521-30-8,4.48
Clc1c(C#N)c(C)ccc1,6575/9/3,3.46
Brc1c(O)cccn1,6602-32-0,3.1500001
O=C(OC)/C(=C/C)/C,6622-76-0,2.3800001
Brc1c(O)ccc(C)c1,6627-55-0,3.5999999
Brc1c(C=O)cccc1,6630-33-7,3.477
Clc1c(O)cccn1,6636-78-8,2.99
Clc1c(Cl)cc(N)c([N+](=O)[O-])c1,6641-64-1,4.6599998
O=C(OCCCCCC)c1ccccc1,6789-88-4,4.9400001
O=C(OCC)C(C(=O)OCC)=C(C)C,6802-75-1,2.927
OC(CO)CCCC,6920-22-5,1.733
O=[N+]([O-])c1c(N)cc(C)c(C)c1,6972-71-0,3.45
O=C(C)c1[nH]c(C)cc1,6982-72-5,2.1700001
Clc1c(C)cc(O)c([N+](=O)[O-])c1,7147-89-9,4.6300001
Brc1c(C)cc([N+](=O)[O-])cc1,7149-70-4,4.1599998
O=C(OCC)c1ccc(C#N)cc1,7153-22-2,3.3699999
N#C/C=C/c1occc1,7187/1/1,2.6900001
N(CC#C)(C)C,7223-38-3,1.855
O=[N+]([O-])c1ccc(OCCCC)cc1,7244-78-2,4.4200001
Cc1nc2c(nc1)cccc2,7251-61-8,3.02
Clc1sc(C=O)cc1,7283-96-7,3.6199999
O=C(OCCCC)/C=C/C,7299-91-4,2.8399999
NCCCCCCCCCCC,7307-55-3,5.3280001
Clc1ccc(C(=O)OCC)cc1,7335-27-5,3.75
BrC/C=C/CC,7348-71-2,3.77
O=C(OC)/C=C/CCCCC,7367-81-9,3.77
OC(C#C)CCCC,7383-19-9,2.7349999
O=C(CC(=O)CC)CC,7424-54-6,2.618
O=C(OCC)C(CC)C,7452-79-1,2.1110001
ClC(C(=O)N)CC,7462-73-9,1.783
Brc1c(C)cc(O)cc1C,7463-51-6,4.27
Brc1cc(Cl)c(O)c(C)c1,7530-27-0,4.2800002
OC[C@@H](N)CC(C)C,7533-40-6,2.381
Brc1cc([N+](=O)[O-])c(O)cc1,7693-52-9,4.8699999
O=Cc1c2c(c(O)cc1)cccc2,7770-45-8,4.0500002
O=C(OCCC)/C=C/c1ccccc1,7778-83-8,4.23
O=Cc1ccc(OCC)cc1,10031-82-0,3.073
O=C(OCC(CC)CC)C,10031-87-5,2.8800001
O=C(OCC)C#CCCCCCC,10031-92-2,4.3800001
OC(CCCCCCCCCC)C,10203-28-8,4.6599998
OC(CCCCCCCC)CCC,10203-32-4,4.6500001
OCCC#CC,10229-10-4,1.825
O=C(OC(CC)C)/C=C/C,10371-45-6,2.5799999
O=C(OCC#C)C=C,10477-47-1,4.0599999
O=C(OCC)C#CCCCCC,10519-20-7,4.2399998
OCCCCCc1ccccc1,10521-91-2,3.4200001
BrCC(=O)c1sccc1,10531-41-6,5.2220001
Brc1sc([N+](=O)[O-])cc1,13195-50-1,4.4099998
NCCCCc1ccccc1,13214-66-9,3.6199999
S=C(NCCCCCCCC)N,13281-03-3,4.5100002
OCCCCN,13325-10-5,2.0250001
O=C(OC(C)C)CC#N,13361-30-3,2.05
O=C(OCC=C)CC#N,13361-32-5,2.21
O=C(OCC(CCCC)CC)CC#N,13361-34-7,3.8900001
ClCC(CO)(C)C,13401-56-4,2.2179999
ClCC(=O)C(C)(C)C,13547-70-1,4.2680001
Clc1c(Cl)c(C(=O)C)ccc1Cl,13608-87-2,4.3400002
O=Cc1cc(O)c(O)c(O)c1,13677-79-7,2.8039999
O=C(O)/C=C\CC,13991-37-2,2.723
ClC(C(=O)OCC)C(=O)OCC,14064-10-9,3.635
Clc1c(CC)cc(O)cc1,14143-32-9,4.0799999
Oc1ccc(CC#N)cc1,14191-95-8,2.6199999
O=C(/C=C/CCCCC)C,14309-57-0,3.98
N(CC)Cc1ccccc1,14321-27-8,3.22
O=C/C=C/c1ccccc1,14371-10-9,3.6800001
Brc1ccc(C(=O)c2cnccc2)cc1,14548-45-9,3.8199999
O=C(c1ccncc1)c1ccccc1,14548-46-0,2.9100001
O=C(OC=C)/C=C/C,14861-06-4,2.8499999
OC(Cc1ccccc1)C,14898-87-4,2.3800001
OCCC#CCCC,14916-79-1,2.677
OCCC#CCCCC,14916-80-4,3.017
Cc1c(C)cco1,14920-89-9,2.49
Oc1ccc(CCCCC)cc1,14938-35-3,4.5799999
O=[N+]([O-])c1c(O)cccn1,15128-82-2,3.8699999
O=[N+]([O-])c1c(O)ccc(C)n1,15128-90-2,3.3900001
O=C(OC=C)c1ccc(C(C)(C)C)cc1,15484-80-7,4.5700002
O=C(OCCCCCCCC)CC#N,15666-97-4,3.9000001
BrCCCCCOC(=O)C,15848-22-3,3.293
Brc1cc(CO)ccc1,15852-73-0,3.3699999
O=C(OCCCC)CCCCCCC(=O)OCCCC,16090-77-0,4.6560001
O=C(OCC)C#CCCC,16205-90-6,3.7
S(=O)(=O)(CC=C)c1ccccc1,16212-05-8,3.3099999
Nc1ccc(CCCCCCCC)cc1,16245-79-7,5.4299998
OCC(N)C(C)C,16369-05-4,2.415
OCCNCCC,16369-21-4,1.316
N#CC/C=C/C,16529-66-1,2.0469999
Brc1ccc(CC#N)cc1,16532-79-9,3.5999999
Clc1c([N+](=O)[O-])cc(C=O)cc1,16588-34-4,4.1900001
O=C(OCC)C#CCCCC,16930-95-3,4.1100001
S=C=NCc1c2c(ccc1)cccc2,17112-82-2,6.0560002
O=C(N)c1c(C#N)cccc1,17174-98-0,2.6800001
BrC(C(=O)C(Br)(C)C)(C)C,17346-16-6,3.513
O=C(OCCCCCCCCCC)CC#N,17686-43-0,4.6999998
BrCCCCCCCC(=O)O,17696-11-6,4.323
O=C(Oc1ccccc1)c1ccc(O)cc1,17696-62-7,4.3699999
O=C(OC(C)C)/C=C/C,18060-77-0,2.2179999
O=C(OC)c1ccc(NC)cc1,18358-63-9,3.3099999
Cl/C(/C=O)=C\c1ccccc1,18365-42-9,4.73
Clc1nc(C)ccc1,18368-63-3,2.52
OC/C=C/CCCCC,18409-17-1,3.365
Clc1c([N+](=O)[O-])c(Cl)cc(Cl)c1,18708-70-8,4.4299998
O=C/C=C/CCCC,18829-55-5,4.0500002
O=C/C=C/CCCCCC,18829-56-6,4.5999999
O=C(OC)C#CCCC,18937-79-6,3.76
O(CCC)c1ccc(O)cc1,18979-50-5,3.52
O(CCCCC)c1ccc(O)cc1,18979-53-8,4.3600001
O(CCCCCC)c1ccc(O)cc1,18979-55-0,4.6399999
Brc1c(CO)cccc1,18982-54-2,3.0999999
BrCC(=O)Oc1ccc([N+](=O)[O-])cc1,19199-82-7,4.8099999
S=C=Nc1c(C)cccc1C,19241-16-8,4.4949999
Brc1c(Cl)cccc1Cl,19393-92-1,4.3400002
O=C(OC)c1cc(O)ccc1,19438-10-9,2.95
BrC(C#N)C,19481-82-4,3.6259999
S=C=NC(=O)/C=C/c1ccccc1,19495-08-0,3.2920001
Brc1ccncc1,19524-06-2,2.4400001
BrCC(O)C,19686-73-8,1.812
OC(CC#C)CC,19780-84-8,1.596
OC(CC#CCC)C,19781-81-8,2.3840001
OCCC(c1ccccc1)c1ccccc1,20017-67-8,4.04
Clc1c(Cl)cc([N+](=O)[O-])cc1Cl,20098-48-0,4.5500002
ClCCCCCOC(=O)C,20395-28-2,2.869
[SH0](=O)(C=C)c1ccccc1,20451-53-0,3.1600001
O=C(OCC=C)/C=C/C,20474-93-5,2.5190001
O=C(OC(C)(C)C)CC,20487-40-5,2.5910001
O=C(OC)C/C=C/C,20515-19-9,2.724
Cc1c(C)nc(C)o1,20662-84-4,1.99
OC(C#CC)CC,20739-59-7,2.8050001
S=C(NCCCCCC)N,21071-27-2,3.8599999
Clc1oc(C=O)cc1,21508-19-0,3.0699999
O=CCCCCC/C=C\CC,21661-97-2,3.9489999
O=[N+]([O-])c1c(O)nccc1C,21901-18-8,2.5
O=[N+]([O-])c1c(C)cc(N)nc1,21901-40-6,3.3699999
O=[N+]([O-])c1c(C)cc(O)nc1,21901-41-7,2.8299999
Brc1cocc1,22037-28-1,2.52
OC/C=C/CCCCCC,22104-79-6,3.77
OC/C=C/CCCCCCC,22104-80-9,4.1279998
OC/C=C\CCCCCCCCC,22104-81-0,5.092
OC(CCC)c1ccccc1,22135-49-5,2.9100001
ClCCCCCCC#N,22819-91-6,3.2869999
Clc1ncc([N+](=O)[O-])c(C)c1,23056-33-9,3.4200001
Clc1c([N+](=O)[O-])c(C)ccn1,23056-39-5,3.29
ClCCCCCCCCO,23144-52-7,3.4879999
O=C(OC)C#CC,23326-27-4,3.4000001
O=C(OC)c1ccc(OCC)cc1,23676-08-6,3.5799999
S=C=N[C@@H](C)c1ccccc1,24277-43-8,5.6989999
Nc1c(C(C)C)cccc1C(C)C,24544-04-5,3.76
OCC(N)C(CC)C,24629-25-2,2.3410001
O=Cc1c(O)c(O)ccc1,24677-78-9,3.1110001
O=C(OCC)CC(O)C,24915-95-5,1.47
O=Cc1cc(C#N)ccc1,24964-64-5,2.98
BrCCCCCC(=O)OCC,25542-62-5,3.5940001
OC(CO)CC,26171-83-5,0.95200002
O=C(OC)c1ccc(C(C)(C)C)cc1,26537-19-9,3.9200001
OCC(CN)(C)C,26734-09-8,2.075
ClC(C(=O)N)C,27816-36-0,1.558
Clc1c([N+](=O)[O-])c([N+](=O)[O-])cc(Cl)c1,28689-08-9,5.4200001
Oc1c(Cc2ccccc2)cccc1,28994-41-4,4.3099999
BrCC(=O)C=1C(=O)Oc2c(cccc2)C=1,29310-88-1,5.658
OC(C(c1ccccc1)c1ccccc1)C,29338-49-6,3.75
Brc1ccc(-c2ccc(O)cc2)cc1,29558-77-8,5.3099999
O=[N+]([O-])c1c(O)c([N+](=O)[O-])cc([N+](=O)[O-])c1,29663-11-4,2.8399999
O=Cc1cc(OC)c(OC)c(O)c1,29865-90-5,2.6099999
O=Cc1cc2c(-c3c(cccc3)C2)cc1,30084-90-3,4.4990001
OCCC#CCCCCC,31333-13-8,3.3399999
OC/C=C/CCCCCC,31502-14-4,3.7520001
O=C(CC#N)c1occc1,31909-58-7,3.3
O=C(OCC)/C=C(\OCC)/OCC,32002-24-7,2.3499999
OC(C#CCC)CC,32398-69-9,2.9660001
OC/C=C/CCCC,33467-76-4,3.0450001
Clc1cc(Cl)cc(OC)c1,33719-74-3,3.9300001
O=Cc1c2c(c(C)cc1)cccc2,33738-48-6,4.1230001
NC(CC)C,33966-50-6,2.329
O=C(OCC#CC)C,34485-37-5,2.1170001
N(CC#C)C,35161-71-8,2.0179999
O=Cc1c(C)ccc2c1cccc2,35699-44-6,4.2309999
O=[N+]([O-])c1c(N)c2c(nccc2)cc1,35975-00-9,3.9200001
O=C(C)c1c(O)cc(C)c(C)c1,36436-65-4,3.71
O=C1OC(C)C1,36536-46-6,2.2409999
O(CC(N)C)C,37143-54-7,2.1670001
Clc1c(O)c(OC)ccc1C=O,37687-57-3,3.204
O=C(OCCCCCCCCC)c1ccc(O)cc1,38713-56-3,5.6300001
O=C/C=C/c1occc1,39511-08-5,3.3699999
O(CCCCC)c1ccc(N)cc1,39905-50-5,3.97
O(CCCCCC)c1ccc(N)cc1,39905-57-2,4.3800001
O=C(OCC)Cc1cnccc1,39931-77-6,2.0599999
Brc1c(Cl)scc1,40032-73-3,3.73
OC(CO)CNC,40137-22-2,1.466
O=C(N)c1c(O)ccc(C(=O)C)c1,40187-51-7,2.9000001
O=C(OCC)CC(=O)CCCC(=O)OCC,40420-22-2,2.622
Clc1cc(C(=O)N)c([N+](=O)[O-])cc1,40763-96-0,2.6800001
BrCC(CO)(C)C,40894-00-6,2.54
Oc1c(N)cc(C)cc1C,41458-65-5,3.8900001
Clc1cc([N+](=O)[O-])c(C(=O)OC)cc1,42087-80-9,3.8199999
O=[N+]([O-])c1c(C=O)cc(O)cc1,42454-06-8,3.3299999
O(CCO)c1cc(O)ccc1,49650-88-6,2.1300001
Clc1sc(C#N)cc1,50478-16-5,2.9200001
Clc1c([N+](=O)[O-])cc([N+](=O)[O-])c(C)c1,51676-74-5,5.3299999
OCCC#CCCCCCC,51721-39-2,4.1269999
Ic1ccc(C(=O)OCC)cc1,51934-41-9,4.5300002
O=C(OC1CCCCC1)CC#N,52688-11-6,2.9100001
S=C=NCCCN=C=S,52714-52-0,5.7199998
Oc1c(C)c(N)ccc1,53222-92-7,2.45
OC(CC#CCC)CC,53723-18-5,2.6240001
OC(CC#CCCC)CC,53723-19-6,2.9579999
O=C(OC)C(CC)C,53955-81-0,1.835
Clc1c(Cl)c(OC)ccc1Cl,54135-80-7,4.6399999
OCCC#CCCCCCCCCCC,55182-74-6,5.3769999
O=C(OCC)C#CCC,55314-57-3,3.8199999
Brc1c(O)c(-c2ccccc2)cc(Br)c1,55815-20-8,5.21
O=C(OCC)CC(O)C,56816-01-4,1.47
Clc1c(Cl)cc(Cl)cc1C=O,56961-75-2,4.7199998
Brc1c(Cl)c(Cl)ccc1,56961-77-4,4.3000002
Clc1c(C=O)ccc(O)c1,56962-11-9,3.8900001
O=C(OCC)Cc1sccc1,57382-97-5,3.27
O=C(OCC=C)CCCCCCCCC,57856-81-2,3.48
OCC(CCC)CCC,58175-57-8,3.1340001
O=C(OCC)Cc1cc(OC)c(O)cc1,60563-13-5,2.77
Clc1c(N)c(Cl)ccc1C,64063-37-2,3.6900001
Clc1cc(OC)cc(O)c1,65262-96-6,3.76
OC(C#C)C,65337-13-5,2.598
O(CC)c1c(OC)ccc(O)c1,65383-57-5,2.7
O=CCC/C=C/CCCCC,65405-70-1,4.2080002
OC(C(C)(C)C)(CC)CC,66793-96-2,2.8310001
O=Cc1c(C)[nH]cn1,68282-53-1,2.0699999
S(Cc1ccccc1)c1c([N+](=O)[O-])cccn1,69212-31-3,4.7199998
O=[N+]([O-])c1cc([N+](=O)[O-])cc(CO)c1,71022-43-0,3.53
O=C(OC(C)(C)C)/C=C/C,79218-15-8,2.3610001
BrCC(=O)c1c2c3c4c(cc2)cccc4ccc3cc1,80480-15-5,5.3870001
OC(C#C)C(CCC)C,87777-46-6,3.743
S=C=N/C=C/CN=C=S,109704-32-7,5.7399998
OC(CC)Cc1ccccc1,120055-09-6,2.8399999
O=C(OCC)CC(O)CC#N,141942-85-0,1.36
S=C=Nc1cc2c(cc1)CCC2,149865-84-9,5.4809999
Clc1c(F)c(C=O)cc(C(F)(F)F)c1,261763-02-4,4.2399998
Clc1c(C=O)c(F)c(C)cc1,286474-59-7,3.74
Clc1c(C(=O)O)ccc(Cl)c1,50-84-0,2.6099999
O=C(OCC)N,51-79-6,1.35
Clc1c(Cl)c(Cl)cc(Cl)c1O,58-90-2,5.1799998
O=C(O)c1ccccc1,65-85-0,2.7
O=CCCCCC,66-25-1,2.8269999
O=[N+]([O-])c1c(O)cccc1[N+](=O)[O-],66-56-8,3.46
O=C1C(CC=2C(=O)Oc3c(C=2O)cccc3)=C(O)c2c(O1)cccc2,66-76-2,4.6999998
Clc1c(Cc2c(Cl)c(Cl)cc(Cl)c2O)c(O)c(Cl)cc1Cl,70-30-4,6.04
OCCCC,71-36-3,1.569
OC(CCCC(C)C)(CC)C,78-69-3,3.3399999
BrCC(C)C,78-77-3,2.6800001
OCC(C)C,78-83-1,1.628
NC(CN)C,78-90-0,2.4400001
O=C(C=C)C,78-94-4,4.5100002
OC(CN)C,78-96-6,2.0699999
O=C(OCC)C(O)(C)C,80-55-7,1.4299999
BrC(C(=O)O)CC,80-58-0,3.122
